firebase_id,prolific_id,condition_name,visualization_condition,prompt_order,s2_prompt_type,pre_predictability,pre_negative_predictability,pre_trust,final_predictability_post,final_negative_predictability_post,final_trust_post,shift_predictability,shift_neg_predictability,shift_trust,final_viz_helpfulness,final_viz_anticipation,final_viz_prediction,final_viz_referenced,final_viz_confidence,final_viz_frequency,final_viz_comprehension,final_drift_panel_helpful,final_ueq_obstructive_supportive,final_ueq_complicated_easy,final_ueq_inefficient_efficient,final_ueq_confusing_clear,final_ueq_boring_exciting,final_ueq_not_interesting_interesting,final_ueq_conventional_inventive,final_ueq_usual_leading_edge,ueq_pragmatic,ueq_hedonic,ueq_overall
ME1pppCtXGSvk9imfI8lFN4UPoX2,675de3bd64119cef93edfc75,single_turn,1,roleply_first,ASST,5,6,5,5.0,3.0,5.0,0.0,-3.0,0.0,5.0,5.0,4.0,5.0,6.0,2.0,6.0,,5.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,5.75,4.5,5.125
MKPHVmwKyKMv55kJj5jEuhA4ef73,69bdd9c01353d737b5014313,control,0,asst_first,ROLEPLY,5,4,6,4.0,5.0,6.0,-1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
NISIrVZewjUVDL9RxeVO4wy3k053,695bce93d2a6e4a816e31ec8,single_turn,1,asst_first,ROLEPLY,4,6,5,4.0,5.0,5.0,0.0,-1.0,0.0,7.0,6.0,6.0,6.0,7.0,4.0,7.0,,7.0,7.0,6.0,6.0,4.0,5.0,5.0,2.0,6.5,4.0,5.25
PAzTaNDcxBdb1D8ZJaaTecs2Nyc2,6998804cdfd462a8fab9b10f,single_turn,1,asst_first,ROLEPLY,6,4,5,5.0,6.0,5.0,-1.0,2.0,0.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,,7.0,7.0,7.0,7.0,5.0,6.0,6.0,5.0,7.0,5.5,6.25
POwuS48YeIV8pjDgwuiqaDl8sN42,6977b954b3edb022aeb019c8,multi_turn,2,roleply_first,ASST,5,5,4,4.0,3.0,3.0,-1.0,-2.0,-1.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,5.0,5.0,6.0,4.0,5.0,4.0,6.0,7.0,5.0,5.5,5.25
PVwkhGYm09Y2vjR6ROncU6h6v2p2,5c291c9e1496350001cd4646,control,0,roleply_first,ASST,2,3,4,6.0,5.0,4.0,4.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
PulvDgyrjrPvkKAm8NJyXEcOK0v2,69a273aa8ea44b93a7c318fa,control,0,roleply_first,ASST,6,6,6,6.0,6.0,6.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
QkFPH8M9cPODPgIh5A3hTPl4Bow1,63474e67a5fd298c6103c409,single_turn,1,asst_first,ROLEPLY,5,4,5,5.0,4.0,5.0,0.0,0.0,0.0,6.0,4.0,5.0,4.0,5.0,2.0,4.0,,5.0,5.0,6.0,5.0,3.0,3.0,4.0,3.0,5.25,3.25,4.25
R1CuHAbiQJTvL52T22cXcmMTNjo2,6738bbb49b751f21694bb4af,multi_turn,2,roleply_first,ASST,5,6,3,5.0,5.0,3.0,0.0,-1.0,0.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,6.0,5.0,4.0,5.0,4.5
R2UCL5fF0rU0Z3VRne5SBPnOWRH2,69c58ffd18c4c49927581384,multi_turn,2,asst_first,ROLEPLY,5,6,5,4.0,3.0,6.0,-1.0,-3.0,1.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
